lr,ancho,prof,optimizador,activacion,error_l2,lambda_bc_final,tiempo_seg
0.0005,100,3,Adam,tanh,0.00962412554562056,140.43313042290737,164.24668431282043
0.001,100,3,Adam,swish,0.010155741158559075,69.47801799904184,172.54459691047668
0.0005,100,3,AdamW,tanh,0.010233302962754869,137.11753620007931,157.4665608406067
0.0005,100,3,RMSprop,tanh,0.0111099051854395,131.49219886820111,138.55737972259521
0.0005,100,3,RMSprop,swish,0.013184621391410333,67.69597550465815,145.5622022151947
0.001,100,3,RMSprop,swish,0.014169694422852654,55.18556929742285,179.4413948059082
0.001,100,3,AdamW,tanh,0.01512731418773552,152.90780176243783,145.41444873809814
0.001,50,3,Adam,tanh,0.018300101234010283,133.71372058458599,71.77563095092773
0.001,50,3,Adam,swish,0.01838962560477454,44.621137897677045,83.93577313423157
0.001,100,3,Adam,tanh,0.018915697481530297,117.46852298458093,138.06922388076782
0.001,50,3,AdamW,swish,0.018952969991252698,49.05938698431373,84.03767418861389
0.001,100,3,AdamW,swish,0.02187552829489645,60.254989190952514,175.463476896286
0.001,50,3,AdamW,tanh,0.022368340314029355,138.2552397976156,68.11215424537659
0.0005,100,3,AdamW,swish,0.02237110133071238,62.18703616656323,161.7282211780548
0.001,50,3,RMSprop,swish,0.023259011044050232,48.2361590733927,80.98164701461792
0.0005,50,3,Adam,tanh,0.02443474938999651,131.15066889433473,72.50639986991882
0.001,50,3,RMSprop,tanh,0.027083698729075557,109.56040192848967,66.02998113632202
0.0005,50,3,RMSprop,swish,0.028844140688382234,67.06579554020996,88.71065497398376
0.0005,100,3,Adam,swish,0.03195223551033735,54.524659316709474,194.17989110946655
0.0005,50,3,AdamW,swish,0.037466654236552537,52.52899642295174,87.89352774620056
0.0005,50,3,AdamW,tanh,0.047020572229550785,88.371716381395,70.50151920318604
0.0005,50,3,RMSprop,tanh,0.06080355231797854,91.93509768329925,70.66519904136658
0.0005,50,3,Adam,swish,0.06223482269408196,45.87625024665667,90.79409384727478
0.001,100,3,RMSprop,tanh,1.000022272928305,932.4630232468743,136.6934621334076
0.0005,100,3,AdamW,sigmoid,1.0001769203707669,111.15047263948422,102.82356023788452
0.0005,50,3,AdamW,sigmoid,1.0002300251750345,169.3821583385289,67.21282982826233
0.0005,100,3,Adam,sigmoid,1.0002840757068405,162.09697228151916,125.14897394180298
0.0005,50,3,Adam,sigmoid,1.0003288135072403,134.13978376763373,60.94197392463684
0.0005,50,3,RMSprop,sigmoid,1.0004524085183417,141.5233215505617,64.07463192939758
0.0005,100,3,RMSprop,sigmoid,1.0007414028025374,88.17160220674023,102.84953761100769
0.001,100,3,Adam,sigmoid,1.0125792514054976,166.59667908764686,107.77572798728943
0.001,50,3,Adam,sigmoid,1.07181325071679,78.31620755028621,60.22140097618103
0.001,50,3,RMSprop,sigmoid,1.267638571963418,102.80763059662615,57.980177879333496
0.001,100,3,AdamW,sigmoid,1.3038002677045795,147.40244785033474,109.22690510749817
0.001,50,3,AdamW,sigmoid,1.6898557010695128,44.47629131647359,60.810351848602295
0.001,100,3,RMSprop,sigmoid,1.7663121931347727,35.224625294330885,112.86501598358154
